summary_type,feature_mode,register_type,count,all_transition_accuracy_mean,all_transition_accuracy_std,all_transition_accuracy_sem,all_transition_accuracy_min,all_transition_accuracy_median,all_transition_accuracy_max,hidden_dim,epochs,all_transition_accuracy,unwritten_mode,write_fraction,coverage_fraction,seen_transition_accuracy_mean,seen_transition_accuracy_std,seen_transition_accuracy_sem,seen_transition_accuracy_min,seen_transition_accuracy_median,seen_transition_accuracy_max,seen_transition_accuracy,unseen_transition_accuracy_mean,unseen_transition_accuracy_std,unseen_transition_accuracy_sem,unseen_transition_accuracy_min,unseen_transition_accuracy_median,unseen_transition_accuracy_max,unseen_transition_accuracy
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,hashed_pair,hopfield,720,0.05584309895833333,0.05136082669656598,0.0019141049979017914,0.0,0.03125,0.28125,32.0,0.0,0.05584309895833333,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,hashed_pair,hopfield,720,0.3719401041666667,0.2551979029821658,0.00951066431305865,0.02734375,0.3125,1.0,32.0,1.0,0.3719401041666667,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,hashed_pair,hopfield,720,0.3715142144097222,0.25514651362376073,0.009508749144746753,0.02734375,0.30859375,1.0,32.0,2.0,0.3715142144097222,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,hashed_pair,hopfield,720,0.37159830729166665,0.25478267148067796,0.009495189548663215,0.0234375,0.3125,1.0,32.0,5.0,0.37159830729166665,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,hashed_pair,hopfield,720,0.37185601128472223,0.25427751876809185,0.009476363618590533,0.013671875,0.3125,1.0,32.0,10.0,0.37185601128472223,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,hashed_pair,hopfield,720,0.37189670138888886,0.2548864194273566,0.00949905600635154,0.0234375,0.3125,1.0,32.0,20.0,0.37189670138888886,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,hashed_pair,hopfield,720,0.37089301215277776,0.2544116162062579,0.00948136113504633,0.02734375,0.30859375,1.0,32.0,50.0,0.37089301215277776,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,hashed_pair,nearest,720,0.05626627604166667,0.04767471102374279,0.0017767315776124576,0.0,0.0390625,0.25,32.0,0.0,0.05626627604166667,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,hashed_pair,nearest,720,0.41424967447916666,0.23312787078898092,0.008688162775565814,0.068359375,0.38671875,1.0,32.0,1.0,0.41424967447916666,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,hashed_pair,nearest,720,0.41374782986111114,0.2330434560305437,0.008685016823262982,0.068359375,0.390625,1.0,32.0,2.0,0.41374782986111114,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,hashed_pair,nearest,720,0.4137424045138889,0.23291382625540677,0.008680185806777747,0.06640625,0.390625,1.0,32.0,5.0,0.4137424045138889,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,hashed_pair,nearest,720,0.41378851996527777,0.23234509225251354,0.008658990341918,0.0703125,0.37890625,1.0,32.0,10.0,0.41378851996527777,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,hashed_pair,nearest,720,0.41424153645833334,0.23277694408275715,0.008675084509395206,0.068359375,0.390625,1.0,32.0,20.0,0.41424153645833334,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,hashed_pair,nearest,720,0.4132351345486111,0.23249284329724376,0.00866449669824739,0.068359375,0.38671875,1.0,32.0,50.0,0.4132351345486111,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,hashed_pair,hopfield,720,0.05584309895833333,0.05136082669656598,0.0019141049979017914,0.0,0.03125,0.28125,64.0,0.0,0.05584309895833333,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,hashed_pair,hopfield,720,0.49795464409722223,0.2757464364494198,0.010276462940903808,0.021484375,0.4765625,1.0,64.0,1.0,0.49795464409722223,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,hashed_pair,hopfield,720,0.49769694010416665,0.2757018279794023,0.010274800481381616,0.021484375,0.4765625,1.0,64.0,2.0,0.49769694010416665,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,hashed_pair,hopfield,720,0.49784613715277776,0.2754697315325999,0.01026615075750851,0.021484375,0.4765625,1.0,64.0,5.0,0.49784613715277776,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,hashed_pair,hopfield,720,0.49832085503472223,0.2755006463835494,0.010267302885979133,0.021484375,0.48046875,1.0,64.0,10.0,0.49832085503472223,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,hashed_pair,hopfield,720,0.49790852864583335,0.27560924479453375,0.010271350109799291,0.021484375,0.484375,1.0,64.0,20.0,0.49790852864583335,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,hashed_pair,hopfield,720,0.4973605685763889,0.2756511178515163,0.010272910626496604,0.021484375,0.4765625,1.0,64.0,50.0,0.4973605685763889,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,hashed_pair,nearest,720,0.05626627604166667,0.04767471102374279,0.0017767315776124576,0.0,0.0390625,0.25,64.0,0.0,0.05626627604166667,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,hashed_pair,nearest,720,0.5528917100694445,0.24041267035535993,0.008959651226113889,0.12890625,0.56640625,1.0,64.0,1.0,0.5528917100694445,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,hashed_pair,nearest,720,0.552685546875,0.24011783271150988,0.008948663275880979,0.130859375,0.56640625,1.0,64.0,2.0,0.552685546875,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,hashed_pair,nearest,720,0.5526746961805555,0.24012483447525645,0.008948924216209308,0.130859375,0.56640625,1.0,64.0,5.0,0.5526746961805555,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,hashed_pair,nearest,720,0.5527967664930555,0.24022767505948125,0.008952756858495515,0.130859375,0.56640625,1.0,64.0,10.0,0.5527967664930555,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,hashed_pair,nearest,720,0.5528591579861111,0.24010227146884033,0.008948083342607254,0.12890625,0.55859375,1.0,64.0,20.0,0.5528591579861111,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,hashed_pair,nearest,720,0.5523763020833333,0.24010946107635409,0.00894835128345946,0.130859375,0.56640625,1.0,64.0,50.0,0.5523763020833333,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,hashed_pair,hopfield,720,0.05584309895833333,0.05136082669656598,0.0019141049979017914,0.0,0.03125,0.28125,128.0,0.0,0.05584309895833333,,,,,,,,,,,,,,,,,
learning_curve_by_feature_mode_hidden_dim_register_type_epoch,hashed_pair,hopfield,720,0.625390625,0.2642595641303427,0.009848372484998522,0.052734375,0.65625,1.0,128.0,1.0,0.625390625,,,,,,,,,,,,,,,,,
