experiment,seed,num_states,num_inputs,state_dim,input_dim,register_type,transition_accuracy,mean_abs_overlap
exp01_transition_accuracy,1,16,2,256,16,hopfield,1.0,0.04895833333333333
exp01_transition_accuracy,1,16,2,512,16,nearest,1.0,0.030403645833333333
exp01_transition_accuracy,1,16,2,512,16,hopfield,1.0,0.030403645833333333
exp01_transition_accuracy,1,16,4,64,16,nearest,1.0,0.10286458333333333
exp01_transition_accuracy,1,16,4,64,16,hopfield,0.90625,0.10286458333333333
exp01_transition_accuracy,1,16,4,128,16,nearest,1.0,0.071484375
exp01_transition_accuracy,1,16,4,128,16,hopfield,1.0,0.071484375
exp01_transition_accuracy,1,16,4,256,16,nearest,1.0,0.05026041666666667
exp01_transition_accuracy,1,16,4,256,16,hopfield,1.0,0.05026041666666667
exp01_transition_accuracy,1,16,4,512,16,nearest,1.0,0.029850260416666666
exp01_transition_accuracy,1,16,4,512,16,hopfield,1.0,0.029850260416666666
exp01_transition_accuracy,1,16,8,64,16,nearest,1.0,0.10026041666666667
exp01_transition_accuracy,1,16,8,64,16,hopfield,0.8828125,0.10026041666666667
exp01_transition_accuracy,1,16,8,128,16,nearest,1.0,0.075390625
exp01_transition_accuracy,1,16,8,128,16,hopfield,1.0,0.075390625
exp01_transition_accuracy,1,16,8,256,16,nearest,1.0,0.04889322916666667
exp01_transition_accuracy,1,16,8,256,16,hopfield,1.0,0.04889322916666667
exp01_transition_accuracy,1,16,8,512,16,nearest,1.0,0.03177083333333333
exp01_transition_accuracy,1,16,8,512,16,hopfield,1.0,0.03177083333333333
exp01_transition_accuracy,1,32,2,64,16,nearest,1.0,0.10326360887096774
exp01_transition_accuracy,1,32,2,64,16,hopfield,0.28125,0.10326360887096774
exp01_transition_accuracy,1,32,2,128,16,nearest,1.0,0.06999747983870967
exp01_transition_accuracy,1,32,2,128,16,hopfield,0.8125,0.06999747983870967
exp01_transition_accuracy,1,32,2,256,16,nearest,1.0,0.048497353830645164
exp01_transition_accuracy,1,32,2,256,16,hopfield,1.0,0.048497353830645164
exp01_transition_accuracy,1,32,2,512,16,nearest,1.0,0.03687310987903226
exp01_transition_accuracy,1,32,2,512,16,hopfield,1.0,0.03687310987903226
exp01_transition_accuracy,1,32,4,64,16,nearest,1.0,0.10275957661290322
exp01_transition_accuracy,1,32,4,64,16,hopfield,0.4453125,0.10275957661290322
exp01_transition_accuracy,1,32,4,128,16,nearest,1.0,0.06965095766129033
exp01_transition_accuracy,1,32,4,128,16,hopfield,0.8515625,0.06965095766129033
exp01_transition_accuracy,1,32,4,256,16,nearest,1.0,0.04662298387096774
exp01_transition_accuracy,1,32,4,256,16,hopfield,1.0,0.04662298387096774
exp01_transition_accuracy,1,32,4,512,16,nearest,1.0,0.036888860887096774
exp01_transition_accuracy,1,32,4,512,16,hopfield,1.0,0.036888860887096774
exp01_transition_accuracy,1,32,8,64,16,nearest,1.0,0.10005040322580645
exp01_transition_accuracy,1,32,8,64,16,hopfield,0.5234375,0.10005040322580645
exp01_transition_accuracy,1,32,8,128,16,nearest,1.0,0.06823336693548387
exp01_transition_accuracy,1,32,8,128,16,hopfield,0.74609375,0.06823336693548387
exp01_transition_accuracy,1,32,8,256,16,nearest,1.0,0.048150831653225805
exp01_transition_accuracy,1,32,8,256,16,hopfield,1.0,0.048150831653225805
exp01_transition_accuracy,1,32,8,512,16,nearest,1.0,0.03527438256048387
exp01_transition_accuracy,1,32,8,512,16,hopfield,1.0,0.03527438256048387
exp01_transition_accuracy,1,64,2,64,16,nearest,1.0,0.09996589781746032
exp01_transition_accuracy,1,64,2,64,16,hopfield,0.3125,0.09996589781746032
exp01_transition_accuracy,1,64,2,128,16,nearest,1.0,0.06843687996031746
exp01_transition_accuracy,1,64,2,128,16,hopfield,0.5,0.06843687996031746
exp01_transition_accuracy,1,64,2,256,16,nearest,1.0,0.050595238095238096
exp01_transition_accuracy,1,64,2,256,16,hopfield,0.4765625,0.050595238095238096
exp01_transition_accuracy,1,64,2,512,16,nearest,1.0,0.035952613467261904
exp01_transition_accuracy,1,64,2,512,16,hopfield,1.0,0.035952613467261904
exp01_transition_accuracy,1,64,4,64,16,nearest,1.0,0.09936135912698413
exp01_transition_accuracy,1,64,4,64,16,hopfield,0.3359375,0.09936135912698413
exp01_transition_accuracy,1,64,4,128,16,nearest,1.0,0.0682586185515873
exp01_transition_accuracy,1,64,4,128,16,hopfield,0.5625,0.0682586185515873
exp01_transition_accuracy,1,64,4,256,16,nearest,1.0,0.049661303323412696
exp01_transition_accuracy,1,64,4,256,16,hopfield,0.5859375,0.049661303323412696
exp01_transition_accuracy,1,64,4,512,16,nearest,1.0,0.03579954117063492
exp01_transition_accuracy,1,64,4,512,16,hopfield,1.0,0.03579954117063492
exp01_transition_accuracy,1,64,8,64,16,nearest,1.0,0.09847780257936507
exp01_transition_accuracy,1,64,8,64,16,hopfield,0.29296875,0.09847780257936507
exp01_transition_accuracy,1,64,8,128,16,nearest,1.0,0.0682741195436508
exp01_transition_accuracy,1,64,8,128,16,hopfield,0.533203125,0.0682741195436508
exp01_transition_accuracy,1,64,8,256,16,nearest,1.0,0.050048828125
exp01_transition_accuracy,1,64,8,256,16,hopfield,0.634765625,0.050048828125
exp01_transition_accuracy,1,64,8,512,16,nearest,1.0,0.03568134610615079
exp01_transition_accuracy,1,64,8,512,16,hopfield,1.0,0.03568134610615079
exp01_transition_accuracy,2,4,2,64,16,nearest,1.0,0.07291666666666667
exp01_transition_accuracy,2,4,2,64,16,hopfield,1.0,0.07291666666666667
exp01_transition_accuracy,2,4,2,128,16,nearest,1.0,0.044270833333333336
exp01_transition_accuracy,2,4,2,128,16,hopfield,1.0,0.044270833333333336
exp01_transition_accuracy,2,4,2,256,16,nearest,1.0,0.0859375
exp01_transition_accuracy,2,4,2,256,16,hopfield,1.0,0.0859375
exp01_transition_accuracy,2,4,2,512,16,nearest,1.0,0.0390625
exp01_transition_accuracy,2,4,2,512,16,hopfield,1.0,0.0390625
exp01_transition_accuracy,2,4,4,64,16,nearest,1.0,0.052083333333333336
exp01_transition_accuracy,2,4,4,64,16,hopfield,1.0,0.052083333333333336
exp01_transition_accuracy,2,4,4,128,16,nearest,1.0,0.049479166666666664
exp01_transition_accuracy,2,4,4,128,16,hopfield,1.0,0.049479166666666664
exp01_transition_accuracy,2,4,4,256,16,nearest,1.0,0.08203125
exp01_transition_accuracy,2,4,4,256,16,hopfield,1.0,0.08203125
exp01_transition_accuracy,2,4,4,512,16,nearest,1.0,0.037760416666666664
exp01_transition_accuracy,2,4,4,512,16,hopfield,1.0,0.037760416666666664
exp01_transition_accuracy,2,4,8,64,16,nearest,1.0,0.046875
exp01_transition_accuracy,2,4,8,64,16,hopfield,1.0,0.046875
exp01_transition_accuracy,2,4,8,128,16,nearest,1.0,0.046875
exp01_transition_accuracy,2,4,8,128,16,hopfield,1.0,0.046875
exp01_transition_accuracy,2,4,8,256,16,nearest,1.0,0.07421875
exp01_transition_accuracy,2,4,8,256,16,hopfield,1.0,0.07421875
exp01_transition_accuracy,2,4,8,512,16,nearest,1.0,0.038411458333333336
exp01_transition_accuracy,2,4,8,512,16,hopfield,1.0,0.038411458333333336
exp01_transition_accuracy,2,8,2,64,16,nearest,1.0,0.06584821428571429
exp01_transition_accuracy,2,8,2,64,16,hopfield,1.0,0.06584821428571429
exp01_transition_accuracy,2,8,2,128,16,nearest,1.0,0.07087053571428571
exp01_transition_accuracy,2,8,2,128,16,hopfield,1.0,0.07087053571428571
exp01_transition_accuracy,2,8,2,256,16,nearest,1.0,0.06194196428571429
exp01_transition_accuracy,2,8,2,256,16,hopfield,1.0,0.06194196428571429
exp01_transition_accuracy,2,8,2,512,16,nearest,1.0,0.037109375
exp01_transition_accuracy,2,8,2,512,16,hopfield,1.0,0.037109375
exp01_transition_accuracy,2,8,4,64,16,nearest,1.0,0.07589285714285714
exp01_transition_accuracy,2,8,4,64,16,hopfield,1.0,0.07589285714285714
exp01_transition_accuracy,2,8,4,128,16,nearest,1.0,0.06529017857142858
exp01_transition_accuracy,2,8,4,128,16,hopfield,1.0,0.06529017857142858
exp01_transition_accuracy,2,8,4,256,16,nearest,1.0,0.05943080357142857
exp01_transition_accuracy,2,8,4,256,16,hopfield,1.0,0.05943080357142857
exp01_transition_accuracy,2,8,4,512,16,nearest,1.0,0.03724888392857143
exp01_transition_accuracy,2,8,4,512,16,hopfield,1.0,0.03724888392857143
exp01_transition_accuracy,2,8,8,64,16,nearest,1.0,0.0859375
exp01_transition_accuracy,2,8,8,64,16,hopfield,1.0,0.0859375
exp01_transition_accuracy,2,8,8,128,16,nearest,1.0,0.07589285714285714
exp01_transition_accuracy,2,8,8,128,16,hopfield,1.0,0.07589285714285714
exp01_transition_accuracy,2,8,8,256,16,nearest,1.0,0.05161830357142857
exp01_transition_accuracy,2,8,8,256,16,hopfield,1.0,0.05161830357142857
exp01_transition_accuracy,2,8,8,512,16,nearest,1.0,0.03627232142857143
exp01_transition_accuracy,2,8,8,512,16,hopfield,1.0,0.03627232142857143
exp01_transition_accuracy,2,16,2,64,16,nearest,1.0,0.09453125
exp01_transition_accuracy,2,16,2,64,16,hopfield,0.90625,0.09453125
exp01_transition_accuracy,2,16,2,128,16,nearest,1.0,0.07591145833333333
exp01_transition_accuracy,2,16,2,128,16,hopfield,1.0,0.07591145833333333
exp01_transition_accuracy,2,16,2,256,16,nearest,1.0,0.05266927083333333
exp01_transition_accuracy,2,16,2,256,16,hopfield,1.0,0.05266927083333333
exp01_transition_accuracy,2,16,2,512,16,nearest,1.0,0.033854166666666664
exp01_transition_accuracy,2,16,2,512,16,hopfield,1.0,0.033854166666666664
exp01_transition_accuracy,2,16,4,64,16,nearest,1.0,0.10208333333333333
exp01_transition_accuracy,2,16,4,64,16,hopfield,0.75,0.10208333333333333
exp01_transition_accuracy,2,16,4,128,16,nearest,1.0,0.073046875
exp01_transition_accuracy,2,16,4,128,16,hopfield,1.0,0.073046875
exp01_transition_accuracy,2,16,4,256,16,nearest,1.0,0.053125
exp01_transition_accuracy,2,16,4,256,16,hopfield,1.0,0.053125
exp01_transition_accuracy,2,16,4,512,16,nearest,1.0,0.034407552083333334
exp01_transition_accuracy,2,16,4,512,16,hopfield,1.0,0.034407552083333334
exp01_transition_accuracy,2,16,8,64,16,nearest,1.0,0.10130208333333333
exp01_transition_accuracy,2,16,8,64,16,hopfield,0.8515625,0.10130208333333333
exp01_transition_accuracy,2,16,8,128,16,nearest,1.0,0.08216145833333334
exp01_transition_accuracy,2,16,8,128,16,hopfield,0.9296875,0.08216145833333334
exp01_transition_accuracy,2,16,8,256,16,nearest,1.0,0.050520833333333334
exp01_transition_accuracy,2,16,8,256,16,hopfield,1.0,0.050520833333333334
exp01_transition_accuracy,2,16,8,512,16,nearest,1.0,0.03671875
exp01_transition_accuracy,2,16,8,512,16,hopfield,1.0,0.03671875
exp01_transition_accuracy,2,32,2,64,16,nearest,1.0,0.10817792338709678
exp01_transition_accuracy,2,32,2,64,16,hopfield,0.359375,0.10817792338709678
exp01_transition_accuracy,2,32,2,128,16,nearest,1.0,0.07125756048387097
exp01_transition_accuracy,2,32,2,128,16,hopfield,0.578125,0.07125756048387097
exp01_transition_accuracy,2,32,2,256,16,nearest,1.0,0.04934790826612903
exp01_transition_accuracy,2,32,2,256,16,hopfield,1.0,0.04934790826612903
exp01_transition_accuracy,2,32,2,512,16,nearest,1.0,0.03512474798387097
exp01_transition_accuracy,2,32,2,512,16,hopfield,1.0,0.03512474798387097
exp01_transition_accuracy,2,32,4,64,16,nearest,1.0,0.10729586693548387
exp01_transition_accuracy,2,32,4,64,16,hopfield,0.375,0.10729586693548387
exp01_transition_accuracy,2,32,4,128,16,nearest,1.0,0.07069052419354839
exp01_transition_accuracy,2,32,4,128,16,hopfield,0.7578125,0.07069052419354839
exp01_transition_accuracy,2,32,4,256,16,nearest,1.0,0.05103326612903226
exp01_transition_accuracy,2,32,4,256,16,hopfield,1.0,0.05103326612903226
exp01_transition_accuracy,2,32,4,512,16,nearest,1.0,0.035983177923387094
exp01_transition_accuracy,2,32,4,512,16,hopfield,1.0,0.035983177923387094
exp01_transition_accuracy,2,32,8,64,16,nearest,1.0,0.10685483870967742
exp01_transition_accuracy,2,32,8,64,16,hopfield,0.41796875,0.10685483870967742
exp01_transition_accuracy,2,32,8,128,16,nearest,1.0,0.07062752016129033
exp01_transition_accuracy,2,32,8,128,16,hopfield,0.75390625,0.07062752016129033
exp01_transition_accuracy,2,32,8,256,16,nearest,1.0,0.05035597278225806
exp01_transition_accuracy,2,32,8,256,16,hopfield,1.0,0.05035597278225806
exp01_transition_accuracy,2,32,8,512,16,nearest,1.0,0.03675497731854839
exp01_transition_accuracy,2,32,8,512,16,hopfield,1.0,0.03675497731854839
exp01_transition_accuracy,2,64,2,64,16,nearest,1.0,0.10140749007936507
exp01_transition_accuracy,2,64,2,64,16,hopfield,0.28125,0.10140749007936507
exp01_transition_accuracy,2,64,2,128,16,nearest,1.0,0.07127356150793651
exp01_transition_accuracy,2,64,2,128,16,hopfield,0.2890625,0.07127356150793651
exp01_transition_accuracy,2,64,2,256,16,nearest,1.0,0.050684368799603176
exp01_transition_accuracy,2,64,2,256,16,hopfield,0.7890625,0.050684368799603176
exp01_transition_accuracy,2,64,2,512,16,nearest,1.0,0.034890795510912696
exp01_transition_accuracy,2,64,2,512,16,hopfield,1.0,0.034890795510912696
