experiment,seed,num_states,state_dim,register_type,flip_fraction,trials_per_state,recovery_accuracy,mean_abs_overlap
exp02_noise_recovery,0,16,512,hopfield,0.1,20,1.0,0.033430989583333334
exp02_noise_recovery,0,16,512,hopfield,0.15,20,1.0,0.033430989583333334
exp02_noise_recovery,0,16,512,hopfield,0.2,20,1.0,0.033430989583333334
exp02_noise_recovery,0,16,512,hopfield,0.25,20,1.0,0.033430989583333334
exp02_noise_recovery,0,16,512,hopfield,0.3,20,1.0,0.033430989583333334
exp02_noise_recovery,0,16,512,hopfield,0.35,20,1.0,0.033430989583333334
exp02_noise_recovery,0,16,512,hopfield,0.4,20,0.971875,0.033430989583333334
exp02_noise_recovery,0,32,64,nearest,0.0,20,1.0,0.09979838709677419
exp02_noise_recovery,0,32,64,nearest,0.05,20,1.0,0.09979838709677419
exp02_noise_recovery,0,32,64,nearest,0.1,20,1.0,0.09979838709677419
exp02_noise_recovery,0,32,64,nearest,0.15,20,1.0,0.09979838709677419
exp02_noise_recovery,0,32,64,nearest,0.2,20,1.0,0.09979838709677419
exp02_noise_recovery,0,32,64,nearest,0.25,20,1.0,0.09979838709677419
exp02_noise_recovery,0,32,64,nearest,0.3,20,0.9796875,0.09979838709677419
exp02_noise_recovery,0,32,64,nearest,0.35,20,0.821875,0.09979838709677419
exp02_noise_recovery,0,32,64,nearest,0.4,20,0.1140625,0.09979838709677419
exp02_noise_recovery,0,32,64,hopfield,0.0,20,0.5625,0.09979838709677419
exp02_noise_recovery,0,32,64,hopfield,0.05,20,0.521875,0.09979838709677419
exp02_noise_recovery,0,32,64,hopfield,0.1,20,0.4734375,0.09979838709677419
exp02_noise_recovery,0,32,64,hopfield,0.15,20,0.3859375,0.09979838709677419
exp02_noise_recovery,0,32,64,hopfield,0.2,20,0.3296875,0.09979838709677419
exp02_noise_recovery,0,32,64,hopfield,0.25,20,0.234375,0.09979838709677419
exp02_noise_recovery,0,32,64,hopfield,0.3,20,0.1953125,0.09979838709677419
exp02_noise_recovery,0,32,64,hopfield,0.35,20,0.14375,0.09979838709677419
exp02_noise_recovery,0,32,64,hopfield,0.4,20,0.075,0.09979838709677419
exp02_noise_recovery,0,32,128,nearest,0.0,20,1.0,0.07421875
exp02_noise_recovery,0,32,128,nearest,0.05,20,1.0,0.07421875
exp02_noise_recovery,0,32,128,nearest,0.1,20,1.0,0.07421875
exp02_noise_recovery,0,32,128,nearest,0.15,20,1.0,0.07421875
exp02_noise_recovery,0,32,128,nearest,0.2,20,1.0,0.07421875
exp02_noise_recovery,0,32,128,nearest,0.25,20,1.0,0.07421875
exp02_noise_recovery,0,32,128,nearest,0.3,20,1.0,0.07421875
exp02_noise_recovery,0,32,128,nearest,0.35,20,0.9921875,0.07421875
exp02_noise_recovery,0,32,128,nearest,0.4,20,0.7,0.07421875
exp02_noise_recovery,0,32,128,hopfield,0.0,20,0.75,0.07421875
exp02_noise_recovery,0,32,128,hopfield,0.05,20,0.715625,0.07421875
exp02_noise_recovery,0,32,128,hopfield,0.1,20,0.6953125,0.07421875
exp02_noise_recovery,0,32,128,hopfield,0.15,20,0.6171875,0.07421875
exp02_noise_recovery,0,32,128,hopfield,0.2,20,0.546875,0.07421875
exp02_noise_recovery,0,32,128,hopfield,0.25,20,0.440625,0.07421875
exp02_noise_recovery,0,32,128,hopfield,0.3,20,0.3625,0.07421875
exp02_noise_recovery,0,32,128,hopfield,0.35,20,0.209375,0.07421875
exp02_noise_recovery,0,32,128,hopfield,0.4,20,0.1203125,0.07421875
exp02_noise_recovery,0,32,256,nearest,0.0,20,1.0,0.05041897681451613
exp02_noise_recovery,0,32,256,nearest,0.05,20,1.0,0.05041897681451613
exp02_noise_recovery,0,32,256,nearest,0.1,20,1.0,0.05041897681451613
exp02_noise_recovery,0,32,256,nearest,0.15,20,1.0,0.05041897681451613
exp02_noise_recovery,0,32,256,nearest,0.2,20,1.0,0.05041897681451613
exp02_noise_recovery,0,32,256,nearest,0.25,20,1.0,0.05041897681451613
exp02_noise_recovery,0,32,256,nearest,0.3,20,1.0,0.05041897681451613
exp02_noise_recovery,0,32,256,nearest,0.35,20,1.0,0.05041897681451613
