experiment,seed,case_name,sequence,final_state,expected_state,success,payload_id,descriptor,corruption_rate,num_trials,operation_success_rate,content_success_rate
exp05_descriptor_payload,3,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.3,500.0,0.674,0.674
exp05_descriptor_payload,3,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.5,500.0,0.504,0.504
exp05_descriptor_payload,3,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.75,500.0,0.246,0.246
exp05_descriptor_payload,3,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,1.0,500.0,0.0,0.0
exp05_descriptor_payload,4,same_payload_store,STORE payload,STORED,STORED,True,p1,STORE,,,,
exp05_descriptor_payload,4,same_payload_compare,STORE payload COMPARE payload,COMPARE_TRUE,COMPARE_TRUE,True,p1,COMPARE,,,,
exp05_descriptor_payload,4,same_descriptor_store_p1,STORE payload,STORED,STORED,True,p1,STORE,,,,
exp05_descriptor_payload,4,same_descriptor_store_p2,STORE payload,STORED,STORED,True,p2,STORE,,,,
exp05_descriptor_payload,4,missing_descriptor,payload,ERROR,ERROR,True,p1,,,,,
exp05_descriptor_payload,4,wrong_content_compare,STORE payload COMPARE payload,COMPARE_FALSE,COMPARE_FALSE,True,p2,COMPARE,,,,
exp05_descriptor_payload,4,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.0,500.0,1.0,1.0
exp05_descriptor_payload,4,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.05,500.0,0.954,0.954
exp05_descriptor_payload,4,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.1,500.0,0.902,0.902
exp05_descriptor_payload,4,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.2,500.0,0.772,0.772
exp05_descriptor_payload,4,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.3,500.0,0.738,0.738
exp05_descriptor_payload,4,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.5,500.0,0.494,0.494
exp05_descriptor_payload,4,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.75,500.0,0.222,0.222
exp05_descriptor_payload,4,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,1.0,500.0,0.0,0.0
exp05_descriptor_payload,5,same_payload_store,STORE payload,STORED,STORED,True,p1,STORE,,,,
exp05_descriptor_payload,5,same_payload_compare,STORE payload COMPARE payload,COMPARE_TRUE,COMPARE_TRUE,True,p1,COMPARE,,,,
exp05_descriptor_payload,5,same_descriptor_store_p1,STORE payload,STORED,STORED,True,p1,STORE,,,,
exp05_descriptor_payload,5,same_descriptor_store_p2,STORE payload,STORED,STORED,True,p2,STORE,,,,
exp05_descriptor_payload,5,missing_descriptor,payload,ERROR,ERROR,True,p1,,,,,
exp05_descriptor_payload,5,wrong_content_compare,STORE payload COMPARE payload,COMPARE_FALSE,COMPARE_FALSE,True,p2,COMPARE,,,,
exp05_descriptor_payload,5,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.0,500.0,1.0,1.0
exp05_descriptor_payload,5,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.05,500.0,0.944,0.944
exp05_descriptor_payload,5,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.1,500.0,0.914,0.914
exp05_descriptor_payload,5,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.2,500.0,0.828,0.828
exp05_descriptor_payload,5,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.3,500.0,0.72,0.72
exp05_descriptor_payload,5,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.5,500.0,0.512,0.512
exp05_descriptor_payload,5,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.75,500.0,0.258,0.258
exp05_descriptor_payload,5,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,1.0,500.0,0.0,0.0
exp05_descriptor_payload,6,same_payload_store,STORE payload,STORED,STORED,True,p1,STORE,,,,
exp05_descriptor_payload,6,same_payload_compare,STORE payload COMPARE payload,COMPARE_TRUE,COMPARE_TRUE,True,p1,COMPARE,,,,
exp05_descriptor_payload,6,same_descriptor_store_p1,STORE payload,STORED,STORED,True,p1,STORE,,,,
exp05_descriptor_payload,6,same_descriptor_store_p2,STORE payload,STORED,STORED,True,p2,STORE,,,,
exp05_descriptor_payload,6,missing_descriptor,payload,ERROR,ERROR,True,p1,,,,,
exp05_descriptor_payload,6,wrong_content_compare,STORE payload COMPARE payload,COMPARE_FALSE,COMPARE_FALSE,True,p2,COMPARE,,,,
exp05_descriptor_payload,6,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.0,500.0,1.0,1.0
exp05_descriptor_payload,6,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.05,500.0,0.964,0.964
exp05_descriptor_payload,6,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.1,500.0,0.904,0.904
exp05_descriptor_payload,6,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.2,500.0,0.818,0.818
exp05_descriptor_payload,6,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.3,500.0,0.722,0.722
exp05_descriptor_payload,6,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.5,500.0,0.504,0.504
exp05_descriptor_payload,6,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.75,500.0,0.27,0.27
exp05_descriptor_payload,6,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,1.0,500.0,0.0,0.0
exp05_descriptor_payload,7,same_payload_store,STORE payload,STORED,STORED,True,p1,STORE,,,,
exp05_descriptor_payload,7,same_payload_compare,STORE payload COMPARE payload,COMPARE_TRUE,COMPARE_TRUE,True,p1,COMPARE,,,,
exp05_descriptor_payload,7,same_descriptor_store_p1,STORE payload,STORED,STORED,True,p1,STORE,,,,
exp05_descriptor_payload,7,same_descriptor_store_p2,STORE payload,STORED,STORED,True,p2,STORE,,,,
exp05_descriptor_payload,7,missing_descriptor,payload,ERROR,ERROR,True,p1,,,,,
exp05_descriptor_payload,7,wrong_content_compare,STORE payload COMPARE payload,COMPARE_FALSE,COMPARE_FALSE,True,p2,COMPARE,,,,
exp05_descriptor_payload,7,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.0,500.0,1.0,1.0
exp05_descriptor_payload,7,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.05,500.0,0.946,0.946
exp05_descriptor_payload,7,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.1,500.0,0.912,0.912
exp05_descriptor_payload,7,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.2,500.0,0.762,0.762
exp05_descriptor_payload,7,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.3,500.0,0.686,0.686
exp05_descriptor_payload,7,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.5,500.0,0.506,0.506
exp05_descriptor_payload,7,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.75,500.0,0.254,0.254
exp05_descriptor_payload,7,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,1.0,500.0,0.0,0.0
exp05_descriptor_payload,8,same_payload_store,STORE payload,STORED,STORED,True,p1,STORE,,,,
exp05_descriptor_payload,8,same_payload_compare,STORE payload COMPARE payload,COMPARE_TRUE,COMPARE_TRUE,True,p1,COMPARE,,,,
exp05_descriptor_payload,8,same_descriptor_store_p1,STORE payload,STORED,STORED,True,p1,STORE,,,,
exp05_descriptor_payload,8,same_descriptor_store_p2,STORE payload,STORED,STORED,True,p2,STORE,,,,
exp05_descriptor_payload,8,missing_descriptor,payload,ERROR,ERROR,True,p1,,,,,
exp05_descriptor_payload,8,wrong_content_compare,STORE payload COMPARE payload,COMPARE_FALSE,COMPARE_FALSE,True,p2,COMPARE,,,,
exp05_descriptor_payload,8,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.0,500.0,1.0,1.0
exp05_descriptor_payload,8,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.05,500.0,0.946,0.946
exp05_descriptor_payload,8,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.1,500.0,0.898,0.898
exp05_descriptor_payload,8,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.2,500.0,0.812,0.812
exp05_descriptor_payload,8,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.3,500.0,0.688,0.688
exp05_descriptor_payload,8,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.5,500.0,0.49,0.49
exp05_descriptor_payload,8,descriptor_corruption,STORE payload then corrupted COMPARE payload,,COMPARE_TRUE,,p1,COMPARE,0.75,500.0,0.258,0.258
